GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
" ""01000""",Alabama,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,216615.5,220808.8,224944.6,222081.4,231892.6,235807.3
" ""02000""",Alaska,8,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,53550.9,52479.6,52325.3,50344.6,51021.8,50315.1
" ""04000""",Arizona,6,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,333099,346398.3,359645.7,362603.5,390805.2,403474.2
" ""05000""",Arkansas,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,123882.6,126371.2,127216,128061.2,135568.8,137355.5
" ""06000""",California,8,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8
" ""08000""",Colorado,7,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,350209.1,365204.5,383596,380921.9,406961.5,416114.4
" ""09000""",Connecticut,1,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,273875.1,274582.8,274219.4,258625,268846.7,276668.8
" ""10000""",Delaware,2,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,69555.6,70856.4,74597.4,72550.3,74436.7,75172.6
" ""12000""",Florida,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,1014866.9,1050433.8,1079271,1068377.5,1164778.2,1218430.2
" ""13000""",Georgia,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,583543.3,600934.7,620792.4,602321.8,639236,655827.3
" ""15000""",Hawaii,8,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,87436.4,88836.4,88945.3,79592.5,84121.5,85211.4
" ""16000""",Idaho,7,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,72935.1,77652.1,81261.3,82818.6,87992.9,91683.7
" ""17000""",Illinois,3,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,832826.8,851517.2,857985,810210.1,852749.1,864170.9
" ""18000""",Indiana,3,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,357535.8,368762.9,371044.5,359184.7,384051,396009.2
" ""19000""",Iowa,4,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,187125,189245.1,188318.4,187136.7,198470.8,197846.3
" ""20000""",Kansas,4,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,166273.6,169796.9,170351.7,168540.8,172839.8,174794.6
" ""21000""",Kentucky,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,203564,205940.1,211739.7,206288.8,214565.1,217568.1
" ""22000""",Louisiana,5,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,239830.7,245220.3,246361.1,228825.3,234014.4,231262.3
" ""23000""",Maine,1,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,63000.6,64806.3,66351.2,67420.6,70869.9,72413.5
" ""24000""",Maryland,2,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,399714.5,402480.9,402346.2,388532.3,405905.3,412282.6
" ""25000""",Massachusetts,1,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,530129.4,549262.1,566706.2,556196.4,591911.5,604357.7
" ""26000""",Michigan,3,SAGDP1,1,...,Real GDP (millions of chained 2017 dollars) 1/,Millions of chained 2017 dollars,505101.5,516843,517845.2,502483.7,531500,539898.2
